DRUG_ID	DRUG_NAME	INDICATION_FDB	UMLS_CUI	SNOMEDCT_CUI	DOID
1222	fluspirilene	Schizophrenia	C0036341	58214004	
5012	sacubitril	Chronic Heart Failure	C0264716	48447003	
5013	trelagliptin	Type 2 Diabetes Mellitus	C0011860	44054006	DOID:9352
2200	pirenzepine	Peptic Ulcer	C0030920	13200003	DOID:750
3377	neridronic acid	Osteoporosis	C0029456	64859006	DOID:11476
1431	incadronic acid	Osteoporosis	C0029456	64859006	DOID:11476
3052	butedronic acid	Osteoporosis	C0029456	64859006	DOID:11476
3377	neridronic acid	Humoral Hypercalcemia of Malignancy	C0149911	47709007	
5014	brexpiprazole	Schizophrenia	C0036341	58214004	
5014	brexpiprazole	Major Depressive Disorder	C1269683	370143000	
5015	pegvisomant	Acromegaly	C0001206	74107003	DOID:2449
1405	ibopamine	Heart Failure	C0018801	84114007	DOID:6000
1402	hyoscyamine	Peptic Ulcer	C0030920	13200003	DOID:750
4989	velaglucerase alfa	Chronic non-neuropathic Gaucher's disease	C1961835	62201009	DOID:1926
1999	orphenadrine	Parkinsonism	C0242422	32798002	DOID:13548
4990	trastuzumab emtansine	HER2-positive carcinoma of breast	C1960398	427685000	
4991	lipegfilgrastim	Prevention of Neutropenia from Cancer Chemotherapy	C1827687	425229001	
1854	moxifloxacin	Pneumonic plague	C0524688	38976008	DOID:10398
1854	moxifloxacin	Septicemic plague	C0152936	9012003	DOID:3481
4994	rasburicase	Hyperuricemia	C0740394	35885006	DOID:1920
4424	candicidin	Candidiasis of vagina	C0006852	72934000	
4848	somatropin	Prader-Willi Syndrome	C0032897	89392001	DOID:11983
4848	somatropin	Pituitary Dwarfism	C0013338	367460001	
4848	somatropin	Turner Syndrome	C0041408	38804009	DOID:3491
4995	epoetin alfa	Anemia due to Chronic Kidney Disease	C1561828	707323002	
4995	epoetin alfa	Anemia due to chemotherapy	C1998329	429564000	
4996	romiplostim	Chronic idiopathic thrombocytopenic purpura	C0272293	13172003	DOID:8924
4997	laronidase	Mucopolysaccharidosis, MPS-I	C0023786	75610003	DOID:12802
4998	aluminum acetate	Skin Irritation	C0152030	367466007	
4999	elosulfase alfa	Mucopolysaccharidosis, MPS-IV-A	C0086651	7259005	DOID:12804
5000	evolocumab	Hypercholesterolemia	C0020443	13644009	
5000	evolocumab	Complex dyslipidemia	C3875286	109041000119107	
471	camostat	Gastro-esophageal reflux disease with esophagitis	C0677659	266433003	
2853	xipamide	Hypertension	C0020538	38341003	DOID:10763
2853	xipamide	Edema	C0013604	267038008	
1618	lumiracoxib	Osteoarthritis	C0029408	396275006	DOID:381
266	azapropazone	Osteoarthritis	C0029408	396275006	DOID:381
266	azapropazone	Gout	C0018099	90560007	DOID:13189
266	azapropazone	Rheumatoid Arthritis	C0003873	69896004	DOID:7148
266	azapropazone	Ankylosing Spondylitis	C0038013	9631008	DOID:7147
4986	pegfilgrastim	Prevention of Neutropenia from Cancer Chemotherapy	C1827687	425229001	
4987	filgrastim	Prevention of Neutropenia from Cancer Chemotherapy	C1827687	425229001	
4987	filgrastim	Congenital Neutropenia	C0340970	89655007	
4987	filgrastim	Cyclical neutropenia	C0221023	191347008	DOID:5339
4987	filgrastim	Chronic idiopathic neutropenia	C2267231	248693006	
1193	flufenamic acid	Pain	C0030193	22253000	
2093	penthienate	Peptic Ulcer	C0030920	13200003	DOID:750
2093	penthienate	Gastric spasm	C0581358	196754001	
2226	poldine	Peptic Ulcer	C0030920	13200003	DOID:750
1778	metipamide	Hypertension	C0020538	38341003	DOID:10763
3312	ivabradine	Chronic Heart Failure	C0264716	48447003	
4976	triamcinolone hexacetonide	Alopecia Areata	C0002171	68225006	DOID:986
4976	triamcinolone hexacetonide	Discoid Lupus Erythematosus	C0024138	200938002	
4976	triamcinolone hexacetonide	Keloid	C0022548	33659008	
4976	triamcinolone hexacetonide	Lichen Planus	C0023646	4776004	DOID:9201
4976	triamcinolone hexacetonide	Lichen Simplex Chronicus	C0149922	53891004	
4976	triamcinolone hexacetonide	Necrobiosis Lipoidica Diabeticorum	C0392445	56391002	
4977	siltuximab	Angiofollicular lymph node hyperplasia	C0017531	207036003	
196	amfetaminil	Narcolepsy Syndrome	C0027404	60380001	DOID:8986
4978	etanercept	Rheumatoid Arthritis	C0003873	69896004	DOID:7148
4978	etanercept	Juvenile idiopathic arthritis	C3495559	410502007	
4978	etanercept	Psoriatic Arthritis	C0003872	33339001	DOID:9008
4978	etanercept	Ankylosing Spondylitis	C0038013	9631008	DOID:7147
4978	etanercept	Plaque Psoriasis	C0406317	200965009	
3531	roflumilast	Severe Chronic Obstructive Pulmonary Disease	C0730607	313299006	
4979	trastuzumab	HER2-positive carcinoma of breast	C1960398	427685000	
4941	palbociclib	Human epidermal growth factor 2 negative carcinoma of breast	C2316304	431396003	
4941	palbociclib	Hormone Receptor Positive Postmenopausal Advanced Breast Cancer	C1562029	417181009	
4942	lenvatinib	Follicular thyroid carcinoma	C0206682	255028004	DOID:3962
4942	lenvatinib	Papillary thyroid carcinoma	C0238463	255029007	DOID:3969
4943	arformoterol	Chronic Obstructive Pulmonary Disease	C0024117	13645005	DOID:3083
4943	arformoterol	Chronic Bronchitis	C0008677	63480004	DOID:6132
4943	arformoterol	Pulmonary Emphysema	C0034067	87433001	
4829	apremilast	Plaque Psoriasis	C0406317	200965009	
4944	tenofovir alafenamide	HIV Infection	C0019693	86406008	DOID:526
1021	epalrestat	Diabetic neuropathy	C0011882	230572002	DOID:9743
4682	panobinostat	Multiple Myeloma	C0026764	109989006	DOID:9538
4946	avibactam	Pyelonephritis	C0034186	45816000	DOID:11400
4946	avibactam	Bacterial Urinary Tract Infection	C0729524	312124009	
4946	avibactam	Infectious Disease of Abdomen	C1112209	128070006	
1137	febuxostat	Hyperuricemia	C0740394	35885006	DOID:1920
4110	tolvaptan	Polycystic kidney disease, adult type	C0085413	28728008	
4923	nivolumab	Squamous cell carcinoma of lung	C0149782	254634000	DOID:3907
2594	tenonitrozole	Trichomoniasis	C0040921	56335008	DOID:1947
166	aminolevulinic acid	Fluorescent stain	C0303920	35352008	
2408	roxatidine	Gastroesophageal Reflux	C0017168	235595009	DOID:8534
2408	roxatidine	Zollinger-Ellison Syndrome	C0043515	53132006	
4918	idursulfase	Mucopolysaccharidosis, MPS-II	C0026705	70737009	DOID:12799
4919	decamethoxine	Antiseptic	C0443072	261276004	
3881	benzydamine	Pain	C0030193	22253000	
77	acitazanolast	Allergic Conjunctivitis	C0009766	473460002	DOID:11204
2570	tazanolast	Allergic Conjunctivitis	C0009766	473460002	DOID:11204
