DRUG_ID	DRUG_NAME	ID_TYPE	IDENTIFIER
5082	pegaspargase	KEGG_DRUG	D05387
5080	elbasvir	KEGG_DRUG	D10625
5081	grazoprevir	KEGG_DRUG	D10639
5066	tenecteplase	KEGG_DRUG	D06070
5065	trenbolone hexahydrobenzylcarbonate	KEGG_DRUG	D08627
5067	ixazomib	KEGG_DRUG	D10130
5067	ixazomib	IUPHAR_LIGAND_ID	8450
5063	daratumumab	IUPHAR_LIGAND_ID	7395
5061	mepolizumab	IUPHAR_LIGAND_ID	7685
5055	idarucizumab	IUPHAR_LIGAND_ID	8298
5054	omarigliptin	IUPHAR_LIGAND_ID	8402
5052	aripiprazole lauroxil	IUPHAR_LIGAND_ID	34
5068	brivaracetam	KEGG_DRUG	D08879
2560	taltirelin	KEGG_DRUG	D01925
4181	retigabine	IUPHAR_LIGAND_ID	2601
934	levomenthol	IUPHAR_LIGAND_ID	2430
827	dexamethasone dipropionate	KEGG_DRUG	D01632
3505	homonicotinic acid	IUPHAR_LIGAND_ID	1590
5075	lesinurad	SECONDARY_CAS_RN	1151516-14-1
5077	selexipag	IUPHAR_LIGAND_ID	7552
5077	selexipag	KEGG_DRUG	D09994
5075	lesinurad	KEGG_DRUG	D09921
5075	lesinurad	IUPHAR_LIGAND_ID	7673
2141	phentetramine	KEGG_DRUG	D08361
5012	sacubitril	IUPHAR_LIGAND_ID	7857
766	cyproterone acetate	IUPHAR_LIGAND_ID	2865
1034	epoprostenol	IUPHAR_LIGAND_ID	1915
1757	methscopolamine	IUPHAR_LIGAND_ID	316
2646	levothyroxine	IUPHAR_LIGAND_ID	2635
4166	ulipristal	IUPHAR_LIGAND_ID	7460
4302	glycopyrronium bromide	IUPHAR_LIGAND_ID	7459
4304	dapagliflozin	IUPHAR_LIGAND_ID	4594
4931	corticotropin	IUPHAR_LIGAND_ID	3633
6	(S)-nitrendipine	IUPHAR_LIGAND_ID	2334
4995	epoetin alfa	IUPHAR_LIGAND_ID	4921
4115	asenapine	IUPHAR_LIGAND_ID	22
228	apomorphine	IUPHAR_LIGAND_ID	33
242	aripiprazole	IUPHAR_LIGAND_ID	34
403	bromocriptine	IUPHAR_LIGAND_ID	35
437	buspirone	IUPHAR_LIGAND_ID	36
460	cabergoline	IUPHAR_LIGAND_ID	37
722	clozapine	IUPHAR_LIGAND_ID	38
995	eletriptan	IUPHAR_LIGAND_ID	40
1588	lisuride	IUPHAR_LIGAND_ID	43
1884	naratriptan	IUPHAR_LIGAND_ID	45
1982	olanzapine	IUPHAR_LIGAND_ID	47
2105	pergolide	IUPHAR_LIGAND_ID	48
2202	piribedil	IUPHAR_LIGAND_ID	49
2337	quetiapine	IUPHAR_LIGAND_ID	50
2393	rizatriptan	IUPHAR_LIGAND_ID	51
2543	sumatriptan	IUPHAR_LIGAND_ID	54
2563	tandospirone	IUPHAR_LIGAND_ID	55
2601	terguride	IUPHAR_LIGAND_ID	56
3652	xanomeline	IUPHAR_LIGAND_ID	57
2865	ziprasidone	IUPHAR_LIGAND_ID	59
2869	zolmitriptan	IUPHAR_LIGAND_ID	60
621	chlorpromazine	IUPHAR_LIGAND_ID	83
746	cyamemazine	IUPHAR_LIGAND_ID	84
1222	fluspirilene	IUPHAR_LIGAND_ID	85
1353	haloperidol	IUPHAR_LIGAND_ID	86
3294	iloperidone	IUPHAR_LIGAND_ID	87
1524	ketanserin	IUPHAR_LIGAND_ID	88
2172	pimozide	IUPHAR_LIGAND_ID	90
2176	pindolol	IUPHAR_LIGAND_ID	91
2181	pipamperone	IUPHAR_LIGAND_ID	92
2220	pizotifen	IUPHAR_LIGAND_ID	93
2389	risperidone	IUPHAR_LIGAND_ID	96
2435	sertindole	IUPHAR_LIGAND_ID	98
2470	spiperone	IUPHAR_LIGAND_ID	99
2637	thioridazine	IUPHAR_LIGAND_ID	100
3659	yohimbine	IUPHAR_LIGAND_ID	102
2875	zotepine	IUPHAR_LIGAND_ID	103
888	dihydroergotamine	IUPHAR_LIGAND_ID	121
2032	oxymetazoline	IUPHAR_LIGAND_ID	124
1723	metergoline	IUPHAR_LIGAND_ID	133
1775	methysergide	IUPHAR_LIGAND_ID	134
1796	mianserin	IUPHAR_LIGAND_ID	135
1042	ergometrine	IUPHAR_LIGAND_ID	148
1043	ergotamine	IUPHAR_LIGAND_ID	149
99	agomelatine	IUPHAR_LIGAND_ID	198
180	amitriptyline	IUPHAR_LIGAND_ID	200
191	amoxapine	IUPHAR_LIGAND_ID	201
972	duloxetine	IUPHAR_LIGAND_ID	202
1209	fluoxetine	IUPHAR_LIGAND_ID	203
1212	fluphenazine	IUPHAR_LIGAND_ID	204
1613	loxapine	IUPHAR_LIGAND_ID	205
1830	molindone	IUPHAR_LIGAND_ID	207
2113	perphenazine	IUPHAR_LIGAND_ID	209
2423	sarpogrelate	IUPHAR_LIGAND_ID	210
2639	thiothixene	IUPHAR_LIGAND_ID	212
2717	trazodone	IUPHAR_LIGAND_ID	213
2740	trifluoperazine	IUPHAR_LIGAND_ID	214
1672	melatonin	IUPHAR_LIGAND_ID	224
2579	tegaserod	IUPHAR_LIGAND_ID	226
660	cisapride	IUPHAR_LIGAND_ID	240
1782	metoclopramide	IUPHAR_LIGAND_ID	241
1848	mosapride	IUPHAR_LIGAND_ID	242
3502	prucalopride	IUPHAR_LIGAND_ID	243
2775	tropisetron	IUPHAR_LIGAND_ID	260
765	cyproheptadine	IUPHAR_LIGAND_ID	277
887	dihydroergocristine	IUPHAR_LIGAND_ID	278
4420	dihydroergocryptine	IUPHAR_LIGAND_ID	282
65	acetylcholine	IUPHAR_LIGAND_ID	294
358	bethanechol	IUPHAR_LIGAND_ID	297
488	carbachol	IUPHAR_LIGAND_ID	298
2166	pilocarpine	IUPHAR_LIGAND_ID	305
3536	sabcomeline	IUPHAR_LIGAND_ID	306
260	atropine	IUPHAR_LIGAND_ID	320
784	darifenacin	IUPHAR_LIGAND_ID	321
1371	hexocyclium	IUPHAR_LIGAND_ID	323
1475	ipratropium	IUPHAR_LIGAND_ID	325
2200	pirenzepine	IUPHAR_LIGAND_ID	328
2293	propantheline	IUPHAR_LIGAND_ID	329
2424	scopolamine	IUPHAR_LIGAND_ID	330
109	alcuronium	IUPHAR_LIGAND_ID	341
3170	eburnamonine	IUPHAR_LIGAND_ID	345
2484	strychnine	IUPHAR_LIGAND_ID	347
3643	vincamine	IUPHAR_LIGAND_ID	349
831	dexetimide	IUPHAR_LIGAND_ID	354
1273	gallamine	IUPHAR_LIGAND_ID	356
1427	imipramine	IUPHAR_LIGAND_ID	357
2028	oxybutynin	IUPHAR_LIGAND_ID	359
2705	tolterodine	IUPHAR_LIGAND_ID	360
676	clidinium	IUPHAR_LIGAND_ID	366
463	caffeine	IUPHAR_LIGAND_ID	407
2620	theophylline	IUPHAR_LIGAND_ID	413
837	dexniguldipine	IUPHAR_LIGAND_ID	463
1753	methoxamine	IUPHAR_LIGAND_ID	483
2146	phenylephrine	IUPHAR_LIGAND_ID	485
2562	tamsulosin	IUPHAR_LIGAND_ID	488
4151	silodosin	IUPHAR_LIGAND_ID	493
1443	indoramin	IUPHAR_LIGAND_ID	501
2142	phentolamine	IUPHAR_LIGAND_ID	502
4209	prazosin	IUPHAR_LIGAND_ID	503
704	clonidine	IUPHAR_LIGAND_ID	516
3658	xylometazoline	IUPHAR_LIGAND_ID	517
395	brimonidine	IUPHAR_LIGAND_ID	520
835	dexmedetomidine	IUPHAR_LIGAND_ID	521
1343	guanfacine	IUPHAR_LIGAND_ID	522
806	denopamine	IUPHAR_LIGAND_ID	534
937	dobutamine	IUPHAR_LIGAND_ID	535
1499	isoprenaline	IUPHAR_LIGAND_ID	536
2258	prenalterol	IUPHAR_LIGAND_ID	537
2848	xamoterol	IUPHAR_LIGAND_ID	538
255	atenolol	IUPHAR_LIGAND_ID	548
356	betaxolol	IUPHAR_LIGAND_ID	549
433	bupranolol	IUPHAR_LIGAND_ID	550
522	carvedilol	IUPHAR_LIGAND_ID	551
637	cicloprolol	IUPHAR_LIGAND_ID	552
1786	metoprolol	IUPHAR_LIGAND_ID	553
1865	nadolol	IUPHAR_LIGAND_ID	554
3486	practolol	IUPHAR_LIGAND_ID	555
1024	ephedrine	IUPHAR_LIGAND_ID	556
1155	fenoterol	IUPHAR_LIGAND_ID	557
105	salbutamol	IUPHAR_LIGAND_ID	558
2419	salmeterol	IUPHAR_LIGAND_ID	559
2598	terbutaline	IUPHAR_LIGAND_ID	560
137	alprenolol	IUPHAR_LIGAND_ID	563
2303	propranolol	IUPHAR_LIGAND_ID	564
4061	timolol	IUPHAR_LIGAND_ID	565
487	carazolol	IUPHAR_LIGAND_ID	569
431	levobunolol	IUPHAR_LIGAND_ID	570
