DRUG_ID	DRUG_NAME	TYPE	CLASS_SOURCE_ID	CLASS	SOURCE
719	clotrimazole	PA	D058888	14-alpha Demethylase Inhibitors	MeSH
983	econazole	PA	D058888	14-alpha Demethylase Inhibitors	MeSH
1187	fluconazole	PA	D058888	14-alpha Demethylase Inhibitors	MeSH
1242	fosfluconazole	PA	D058888	14-alpha Demethylase Inhibitors	MeSH
1513	itraconazole	PA	D058888	14-alpha Demethylase Inhibitors	MeSH
1527	ketoconazole	PA	D058888	14-alpha Demethylase Inhibitors	MeSH
1800	miconazole	PA	D058888	14-alpha Demethylase Inhibitors	MeSH
3483	posaconazole	PA	D058888	14-alpha Demethylase Inhibitors	MeSH
2675	tioconazole	PA	D058888	14-alpha Demethylase Inhibitors	MeSH
2846	voriconazole	PA	D058888	14-alpha Demethylase Inhibitors	MeSH
973	dutasteride	PA	D058891	5-alpha Reductase Inhibitors	MeSH
1171	finasteride	PA	D058891	5-alpha Reductase Inhibitors	MeSH
502	carboprost	PA	D000019	Abortifacient Agents	MeSH
912	dinoprost	PA	D000019	Abortifacient Agents	MeSH
1284	gemeprost	PA	D000019	Abortifacient Agents	MeSH
1751	methotrexate	PA	D000019	Abortifacient Agents	MeSH
1805	mifepristone	PA	D000019	Abortifacient Agents	MeSH
1817	misoprostol	PA	D000019	Abortifacient Agents	MeSH
2538	sulprostone	PA	D000019	Abortifacient Agents	MeSH
2746	trilostane	PA	D000019	Abortifacient Agents	MeSH
502	carboprost	PA	D000020	Abortifacient Agents, Nonsteroidal	MeSH
912	dinoprost	PA	D000020	Abortifacient Agents, Nonsteroidal	MeSH
1284	gemeprost	PA	D000020	Abortifacient Agents, Nonsteroidal	MeSH
1751	methotrexate	PA	D000020	Abortifacient Agents, Nonsteroidal	MeSH
1817	misoprostol	PA	D000020	Abortifacient Agents, Nonsteroidal	MeSH
2538	sulprostone	PA	D000020	Abortifacient Agents, Nonsteroidal	MeSH
1805	mifepristone	PA	D000021	Abortifacient Agents, Steroidal	MeSH
2746	trilostane	PA	D000021	Abortifacient Agents, Steroidal	MeSH
928	disulfiram	PA	D065086	Acetaldehyde Dehydrogenase Inhibitors	MeSH
158	amiloride	PA	D062646	Acid Sensing Ion Channel Blockers	MeSH
2362	regadenoson	PA	D058908	Adenosine A2 Receptor Agonists	MeSH
1015	enprofylline	PA	D058917	Adenosine A2 Receptor Antagonists	MeSH
4882	istradefylline	PA	D058917	Adenosine A2 Receptor Antagonists	MeSH
2098	pentostatin	PA	D058892	Adenosine Deaminase Inhibitors	MeSH
109	alcuronium	PA	D000759	Adjuvants, Anesthesia	MeSH
260	atropine	PA	D000759	Adjuvants, Anesthesia	MeSH
594	chlordiazepoxide	PA	D000759	Adjuvants, Anesthesia	MeSH
852	diazepam	PA	D000759	Adjuvants, Anesthesia	MeSH
966	droperidol	PA	D000759	Adjuvants, Anesthesia	MeSH
1164	fentanyl	PA	D000759	Adjuvants, Anesthesia	MeSH
4302	glycopyrronium bromide	PA	D000759	Adjuvants, Anesthesia	MeSH
1402	hyoscyamine	PA	D000759	Adjuvants, Anesthesia	MeSH
1690	pethidine	PA	D000759	Adjuvants, Anesthesia	MeSH
1802	midazolam	PA	D000759	Adjuvants, Anesthesia	MeSH
2034	oxymorphone	PA	D000759	Adjuvants, Anesthesia	MeSH
3424	pentazocine	PA	D000759	Adjuvants, Anesthesia	MeSH
2095	pentobarbital	PA	D000759	Adjuvants, Anesthesia	MeSH
2424	scopolamine	PA	D000759	Adjuvants, Anesthesia	MeSH
2428	secobarbital	PA	D000759	Adjuvants, Anesthesia	MeSH
4566	sodium oxybate	PA	D000759	Adjuvants, Anesthesia	MeSH
2491	sufentanil	PA	D000759	Adjuvants, Anesthesia	MeSH
2729	triazolam	PA	D000759	Adjuvants, Anesthesia	MeSH
2752	trimetaphan	PA	D000759	Adjuvants, Anesthesia	MeSH
2985	acemannan	PA	D000276	Adjuvants, Immunologic	MeSH
4250	algeldrate	PA	D000276	Adjuvants, Immunologic	MeSH
4439	aluminium phosphate	PA	D000276	Adjuvants, Immunologic	MeSH
178	amiprilose	PA	D000276	Adjuvants, Immunologic	MeSH
304	bendazol	PA	D000276	Adjuvants, Immunologic	MeSH
3689	bropirimine	PA	D000276	Adjuvants, Immunologic	MeSH
795	prasterone	PA	D000276	Adjuvants, Immunologic	MeSH
931	ditiocarb	PA	D000276	Adjuvants, Immunologic	MeSH
3957	hyaluronic acid	PA	D000276	Adjuvants, Immunologic	MeSH
1429	imiquimod	PA	D000276	Adjuvants, Immunologic	MeSH
4576	inosine pranobex	PA	D000276	Adjuvants, Immunologic	MeSH
2987	lentinan	PA	D000276	Adjuvants, Immunologic	MeSH
1561	levamisole	PA	D000276	Adjuvants, Immunologic	MeSH
1591	lobenzarit	PA	D000276	Adjuvants, Immunologic	MeSH
2960	mifamurtide	PA	D000276	Adjuvants, Immunologic	MeSH
2164	pidotimod	PA	D000276	Adjuvants, Immunologic	MeSH
2372	retinol acetate	PA	D000276	Adjuvants, Immunologic	MeSH
2400	romurtide	PA	D000276	Adjuvants, Immunologic	MeSH
3532	roquinimex	PA	D000276	Adjuvants, Immunologic	MeSH
4048	sizofiran	PA	D000276	Adjuvants, Immunologic	MeSH
2643	thymalfasin	PA	D000276	Adjuvants, Immunologic	MeSH
2645	thymopentin	PA	D000276	Adjuvants, Immunologic	MeSH
2787	ubenimex	PA	D000276	Adjuvants, Immunologic	MeSH
2789	ukrain	PA	D000276	Adjuvants, Immunologic	MeSH
2817	vesnarinone	PA	D000276	Adjuvants, Immunologic	MeSH
2268	probenecid	PA	D000277	Adjuvants, Pharmaceutic	MeSH
4493	alclometasone dipropionate	PA	D000305	Adrenal Cortex Hormones	MeSH
150	amcinonide	PA	D000305	Adrenal Cortex Hormones	MeSH
294	beclometasone	PA	D000305	Adrenal Cortex Hormones	MeSH
348	betamethasone	PA	D000305	Adrenal Cortex Hormones	MeSH
349	betamethasone acetate	PA	D000305	Adrenal Cortex Hormones	MeSH
351	betamethasone benzoate	PA	D000305	Adrenal Cortex Hormones	MeSH
4667	betamethasone phosphate	PA	D000305	Adrenal Cortex Hormones	MeSH
354	betamethasone valerate	PA	D000305	Adrenal Cortex Hormones	MeSH
419	budesonide	PA	D000305	Adrenal Cortex Hormones	MeSH
633	ciclesonide	PA	D000305	Adrenal Cortex Hormones	MeSH
4452	clobetasol	PA	D000305	Adrenal Cortex Hormones	MeSH
3911	clobetasone	PA	D000305	Adrenal Cortex Hormones	MeSH
4606	clorcortelone	PA	D000305	Adrenal Cortex Hormones	MeSH
819	desoximetasone	PA	D000305	Adrenal Cortex Hormones	MeSH
824	dexamethasone	PA	D000305	Adrenal Cortex Hormones	MeSH
3139	dichlorisone	PA	D000305	Adrenal Cortex Hormones	MeSH
4485	diflorasone	PA	D000305	Adrenal Cortex Hormones	MeSH
3141	diflucortolone	PA	D000305	Adrenal Cortex Hormones	MeSH
3142	difluprednate	PA	D000305	Adrenal Cortex Hormones	MeSH
4548	flumetasone	PA	D000305	Adrenal Cortex Hormones	MeSH
1198	flumetasone pivalate	PA	D000305	Adrenal Cortex Hormones	MeSH
1204	fluocinolone acetonide	PA	D000305	Adrenal Cortex Hormones	MeSH
1205	fluocinonide	PA	D000305	Adrenal Cortex Hormones	MeSH
3234	fluocortin butyl	PA	D000305	Adrenal Cortex Hormones	MeSH
1206	fluocortolone	PA	D000305	Adrenal Cortex Hormones	MeSH
1208	fluorometholone	PA	D000305	Adrenal Cortex Hormones	MeSH
